incident_id,date_int,latitude,longitude,snapshot_quarter,in_corridor,severity_economic_usd
445,20041130,5.1015,98.6117,200404,1,0.0
446,20041201,1.6855,101.4547,200404,1,0.0
447,20041212,13.56,48.21,200404,1,0.0
448,20041215,5.9833333,98.9333,200404,1,0.0
449,20041217,3.9,99.9,200404,1,0.0
450,20041219,14.5833333,50.3333,200404,1,0.0
451,20050102,26.22,57.87,200501,1,0.0
452,20050118,3.7767,98.6767,200501,1,0.0
453,20050228,5.0183,99.5397,200501,1,0.0
454,20050308,13.4667,48.1167,200501,1,0.0
455,20050308,13.4667,48.1167,200501,1,0.0
456,20050312,3.6208,99.6125,200501,1,0.0
457,20050314,4.4267,99.6783,200501,1,0.0
458,20050315,11.985,51.2767,200501,1,0.0
459,20050315,14.3333,50.8333,200501,1,0.0
460,20050316,12.7558,51.553,200501,1,0.0
461,20050331,3.115,100.7433,200501,1,0.0
462,20050405,1.1467,103.4833,200502,1,0.0
463,20050408,1.255,103.562,200502,1,0.0
464,20050411,3.791,98.7107,200502,1,0.0
465,20050423,3.7767,98.6767,200502,1,0.0
466,20050513,5.2167,98.1,200502,1,0.0
467,20050514,1.6767,101.45,200502,1,0.0
468,20050524,15.325,41.5417,200502,1,0.0
469,20050601,4.25,100.3,200502,1,0.0
470,20050607,3.7767,98.6767,200502,1,0.0
471,20050610,5.0417,99.9733,200502,1,0.0
472,20050614,5.5967,99.9633,200502,1,0.0
473,20050706,1.705,101.445,200503,1,0.0
474,20050713,1.2197,103.5687,200503,1,0.0
475,20050717,12.1533,50.8667,200503,1,0.0
476,20050718,12.1833,50.45,200503,1,0.0
477,20050721,2.0389,102.3391,200503,1,0.0
478,20050723,12.5383,43.4433,200503,1,0.0
479,20050723,13.6922,42.486,200503,1,0.0
480,20050729,12.4,50.5,200503,1,0.0
481,20050803,13.4,49.4167,200503,1,0.0
482,20050804,2.325,101.8333,200503,1,0.0
483,20050816,1.0,104.0,200503,1,0.0
484,20050831,15.0167,41.8833,200503,1,0.0
485,20051130,1.23,103.58,200504,1,0.0
486,20051206,12.0167,50.5833,200504,1,0.0
487,20051211,13.1167,49.2167,200504,1,0.0
488,20051214,12.2133,46.18,200504,1,0.0
489,20051224,4.2333,98.3833,200504,1,0.0
490,20060107,13.9767,49.3467,200601,1,0.0
491,20060107,13.7167,49.15,200601,1,0.0
492,20060115,1.7133,101.465,200601,1,0.0
493,20060121,15.8333,41.75,200601,1,0.0
494,20060125,13.46,42.9833,200601,1,0.0
495,20060127,11.9167,51.3167,200601,1,0.0
496,20060218,13.65,49.3,200601,1,0.0
497,20060218,14.4,51.7267,200601,1,0.0
498,20060219,27.5617,33.7833,200601,1,0.0
499,20060401,13.545,49.5467,200602,1,0.0
500,20060405,1.6548,102.76,200602,1,0.0
501,20060417,1.7033,102.7883,200602,1,0.0
502,20060417,4.5018,100.507,200602,1,0.0
503,20060510,12.92,49.61,200602,1,0.0
504,20060604,25.6667,57.0667,200602,1,0.0
505,20060702,4.9237,98.0105,200603,1,0.0
506,20060703,4.64,98.2133,200603,1,0.0
507,20060703,5.2833,98.025,200603,1,0.0
508,20060726,3.9183,98.7817,200603,1,0.0
509,20060727,6.2317,98.6283,200603,1,0.0
510,20060727,6.2317,98.6283,200603,1,0.0
511,20060812,24.9833,59.2667,200603,1,0.0
512,20060916,1.6627,101.6383,200603,1,0.0
513,20061007,5.0783,98.025,200604,1,0.0
514,20061105,4.15,99.6333,200604,1,0.0
515,20061115,3.9183,98.7817,200604,1,0.0
516,20061120,1.7058,101.4553,200604,1,0.0
517,20061128,12.4167,44.4167,200604,1,0.0
518,20061129,4.6833,98.7,200604,1,0.0
519,20061204,1.1583,103.5,200604,1,0.0
520,20061208,1.15,103.5655,200604,1,0.0
521,20061218,27.0567,56.225,200604,1,0.0
522,20061218,3.905,98.785,200604,1,0.0
523,20070121,3.645,99.5,200701,1,0.0
524,20070122,1.7,101.4833,200701,1,0.0
525,20070212,12.5331,47.9223,200701,1,0.0
526,20070215,13.45,43.0333,200701,1,0.0
527,20070225,11.8333,51.5833,200701,1,0.0
528,20070311,18.5427,38.2042,200701,1,0.0
529,20070312,18.4837,38.321,200701,1,0.0
530,20070321,1.6867,101.465,200701,1,0.0
531,20070321,14.06,49.1167,200701,1,0.0
532,20070328,4.6667,99.2583,200701,1,0.0
533,20070406,1.7075,101.451,200702,1,0.0
534,20070418,6.6545,99.941,200702,1,0.0
535,20070425,1.0667,103.5167,200702,1,0.0
536,20070429,1.0933,103.47,200702,1,0.0
537,20070510,3.9225,98.7798,200702,1,0.0
538,20070522,7.0,102.0,200702,1,0.0
539,20070607,15.8166,40.6009,200702,1,0.0
540,20070626,3.9167,98.7667,200702,1,0.0
541,20070710,12.9833,49.2833,200703,1,0.0
542,20070711,3.9167,98.7333,200703,1,0.0
543,20070720,12.5333,44.05,200703,1,0.0
544,20070720,12.5167,44.2,200703,1,0.0
545,20070813,4.2383,99.0783,200703,1,0.0
546,20070813,3.925,98.775,200703,1,0.0
547,20070818,3.9078,98.778,200703,1,0.0
548,20070822,1.0683,103.5067,200703,1,0.0
549,20070824,3.9217,98.776,200703,1,0.0
550,20070828,6.115,98.5117,200703,1,0.0
551,20070920,11.721,43.6987,200703,1,0.0
