conflict_id,country_code,latitude,longitude,date_start,fatalities,event_type_code,snapshot_quarter,in_corridor
394463,530,13.167,39.667,20210401,1,1,202102,1
426491,530,14.166666,38.9,20210401,1,1,202102,1
426497,530,14.120381,38.557442,20210401,1,1,202102,1
490985,530,13.036354,39.589578,20210401,5,1,202102,1
428199,530,13.820327,36.852449,20210401,3,1,202102,1
428200,530,13.56387,36.973604,20210401,3,1,202102,1
428201,530,14.281766,36.610779,20210401,3,1,202102,1
428191,530,13.981608,36.834748,20210401,3,1,202102,1
485863,530,13.94722,38.182216,20210401,1,1,202102,1
486252,530,13.98015,39.430264,20210401,20,1,202102,1
401529,530,14.213518,38.58057,20210403,1,1,202102,1
390282,530,13.98015,39.430264,20210403,10,1,202102,1
394566,530,13.98015,39.430264,20210404,1,1,202102,1
394953,530,14.333333,39.166667,20210405,1,1,202102,1
394799,530,14.28164,39.2902,20210406,1,1,202102,1
394839,530,14.11389,38.47556,20210407,1,1,202102,1
394841,530,14.123336,38.593882,20210407,1,1,202102,1
394842,530,12.538307,39.770879,20210407,1,1,202102,1
394845,530,12.98333,39.68333,20210408,24,1,202102,1
394951,530,14.166666,38.9,20210408,1,1,202102,1
397115,530,14.333333,39.166667,20210408,1,1,202102,1
394934,530,14.03389,39.28944,20210409,1,1,202102,1
394938,530,12.63677,39.53243,20210411,1,1,202102,1
397219,530,14.1154,39.58699,20210412,1,1,202102,1
397226,530,12.96033,39.52831,20210412,1,1,202102,1
395289,530,13.884459,38.646306,20210416,1,1,202102,1
395394,530,13.843531,38.693997,20210419,1,1,202102,1
395396,530,14.0,38.416667,20210419,1,1,202102,1
395379,530,14.039045,39.068627,20210420,650,1,202102,1
395272,530,13.620274,38.818354,20210420,3,1,202102,1
395385,530,14.07633,38.0163,20210421,650,1,202102,1
395402,530,13.620274,38.818354,20210421,1,1,202102,1
395514,530,13.622495,39.001167,20210423,271,1,202102,1
395511,530,13.843531,38.693997,20210423,1,1,202102,1
395512,530,13.55092,39.0563,20210423,1,1,202102,1
395508,530,14.097359,39.271669,20210423,1,1,202102,1
397251,530,13.98387,39.21721,20210423,1,1,202102,1
395601,530,13.05,38.98333,20210425,17,1,202102,1
395719,530,13.98015,39.430264,20210429,1,1,202102,1
395723,530,13.98015,39.430264,20210430,47,1,202102,1
401586,530,13.8783,39.4244,20210503,1,1,202102,1
428120,530,14.039045,39.068627,20210503,1,1,202102,1
397630,530,14.49197,39.13974,20210506,1,1,202102,1
397631,530,13.98015,39.430264,20210507,20,1,202102,1
402689,530,13.622495,39.001167,20210508,1,1,202102,1
402253,530,13.91526,39.343071,20210508,3,1,202102,1
401864,530,14.026425,36.472752,20210511,0,1,202102,1
426525,530,14.27889,39.15,20210511,5,1,202102,1
402663,530,14.09964,38.27821,20210516,1,1,202102,1
402083,530,12.8956,39.3394,20210520,4,1,202102,1
491526,530,12.926817,39.378424,20210520,4,1,202102,1
402251,530,13.957096,38.043326,20210528,1,1,202102,1
402252,530,13.843531,38.693997,20210528,1,1,202102,1
402298,530,13.78507,38.82054,20210610,1,1,202102,1
402296,530,14.1154,39.58699,20210610,1,1,202102,1
402288,530,13.68286,38.88341,20210613,13,1,202102,1
405762,530,13.78507,38.82054,20210615,1,1,202102,1
404487,530,14.02038,38.1639,20210615,1,1,202102,1
409018,530,13.43332,39.00617,20210617,301,1,202102,1
491033,530,13.285975,38.994398,20210617,1750,1,202102,1
428151,530,13.33968,39.07482,20210618,3,1,202102,1
500951,530,12.958155,39.669839,20210619,1,1,202102,1
428124,530,13.782484,39.599826,20210622,1,1,202102,1
428125,530,13.69392,39.58449,20210622,1,1,202102,1
428126,530,13.881,39.598443,20210622,1,1,202102,1
428127,530,14.273545,39.08045,20210622,1,1,202102,1
404451,530,13.5627,39.2949,20210622,64,1,202102,1
405757,530,13.322103,39.172797,20210622,3,1,202102,1
405512,530,14.09964,38.27821,20210628,1,1,202102,1
405515,530,13.253152,39.332311,20210629,1,1,202102,1
405516,530,13.94722,38.182216,20210630,1,1,202102,1
405551,530,13.782484,39.599826,20210630,400,1,202102,1
405625,530,13.75,37.0,20210701,1,1,202103,1
423654,530,12.100227,39.653162,20210701,4,1,202103,1
426563,530,13.597961,38.584511,20210710,3,1,202103,1
409022,530,12.50583,39.52278,20210711,3,1,202103,1
408991,530,13.75,37.0,20210711,1,1,202103,1
408968,530,13.56139,38.1325,20210712,1,1,202103,1
412982,530,12.416741,39.558948,20210712,3,1,202103,1
408997,530,13.56139,38.1325,20210716,1,1,202103,1
484492,530,12.25,39.75,20210716,1,1,202103,1
409002,530,12.396221,39.932435,20210717,20,1,202103,1
409533,530,12.25,40.5,20210719,1,1,202103,1
484496,530,12.23333,39.58333,20210719,1,1,202103,1
409032,530,12.15,39.63333,20210720,4,1,202103,1
414576,530,12.01667,39.76667,20210720,17,1,202103,1
409534,530,13.588882,38.132917,20210722,1,1,202103,1
409006,530,13.34222,37.88639,20210723,1,1,202103,1
429113,530,12.15,39.63333,20210723,2,1,202103,1
484499,530,13.44806,38.06111,20210723,1,1,202103,1
426650,530,12.15,39.63333,20210723,3,1,202103,1
409558,530,12.15,39.63333,20210731,10,1,202103,1
484891,530,12.03333,39.03333,20210801,1,1,202103,1
